"","City","Date","Location","Operator","Route","Type","Aboard","Fatalities","Survived","Ratio","Ground","Summary","Year","Month","month","X","Latitude","Longitude"
"462","lax","01/02/1991","lax, los angeles, california","USAir / Skywest Airlilnes","Columbus - Los Angeles \  Los Angeles - Fresno","Boeing B-737-300 / Swearingen SA-227AC",99,34,65,0.34,0,"The Skywest Metroliner was told to taxi into position for takeand hold. The ATC became preoccupied with another aircraft that departed the tower frequency. A Wings West aircraft reporting 'ready for takeoff', caused some confusion because the controller didn't have a flight progress strip in front of her. The strip appeared to have been misfiled at the clearance delivery position. The USAir, which was cleared to land, landed on top of the Metroliner. After the collision, both planes slid the runway into an unoccupied fire station and burst into flames.The failure of the Los Angeles Air Traffifacility management to implement procedures that provided redundancy comparable to the requirements contained in the National Operational Position Standards and the failure of the FAA ATS to provide adequate policy direction and oversight to its ATC facility managers. These failures created an environment in the Los Angeles ATC tower that ultimately led to the failure of the  controller to maintain awareness of the traffisituation, culminating in the inappropriate clearances and the subsequent collision of the USAir and SkyWest aircraft. Twenty-two killed aboard the USAir and all 12 aboard the Metroliner.",1991,2,"Feb",NA,46.388634,8.118934
"463","lax","01/03/1978","lax, los angeles, california","Continental Airlines","Los Angeles - Honolulu","McDonnell Douglas DC-10-10",200,2,198,0.01,0,"While approaching V1 speed on takeoff, a loud bang was heard followed by shaking of the aircraft. The crew decided to abort the takeoff. With the end of the runway approaching, the captain steered the aircraft the runway to the right. The landing gear failed and resulted in a fire. The plane slid for approximately 650 feet and came to rest 40 feet right of the runway centerline. Several passengers not heeding the warnings of the stewardess exited onto the wing and fell into the fire. Failure of two tires on the left main landing gear resulting in failure of a third tire during a critical point in the takeoff. This was to be pilot Gene Hershe's last flight before retiring.",1978,3,"Mar",NA,46.388634,8.118934
"464","le mans","30/01/1946","le mans, france","Military - Royal Air Force","","Douglas C-47B",11,11,0,1,0,"",1946,1,"Jan",NA,48.000386,0.204709
"465","leon","28/12/1947","leon, mexico","Servicio Aí©reo Panini","Dorango - Leon - Mexico City","Douglas DC-2-172",9,5,4,0.56,3,"Crashed the Leon publisquare and destroyed 3 homes. Lost an engine while taking and was attempting to return to the airport.",1947,12,"Dec",NA,-24.042155,-65.422711
"466","leon","18/06/1955","leon, mexico","Tigres Voladores","","Curtiss C-46",18,18,0,1,0,"Lost an engine on takeand crashed into trees and caught fire.",1955,6,"Jun",NA,-24.042155,-65.422711
"467","leonora","17/12/1988","leonora, wa, australia","Broughton Air Servces","","Mitsubish MU-2 uise",10,10,0,1,0,"",1988,12,"Dec",NA,-28.88509,121.330742
"468","lihu","14/01/2008","lihu, hawaii","Apline Aviation","Lihu - Kauai","Beechcraft 1900C-1",1,1,0,1,0,"The cargo plane was carrying mail when it crashed into the sea, 7 miles south of Lihu. The pilot's spatial disorientation and loss of situational awareness. Contributing to the accident were the dark night and the task requirements of simultaneously monitoring the cockpit instruments and the other airplane.",2008,1,"Jan",NA,30.319444,117.091667
"469","lima","08/12/1987","lima, peru","Military - Peruvian Naval Aviation","Pucallpa - Lima","Fokker F-27 Friendship 400M",43,42,1,0.98,0,"The plane was observed during a fly-by to check that the landing gear was down. After attempting another approach the aircraft crashed into the sea. All members of the Alianza Lima soccer team killed. The pilots' lack of experience flying at night and misreading the manual for procedures in emergency situations.",1987,12,"Dec",NA,-9.292502,16.171227
"470","lima","02/04/1967","lima, peru","Caribbean Airlines","","Lockheed 18 Lodestar",5,5,0,1,0,"Ditched in the ocean.",1967,4,"Apr",NA,-9.292502,16.171227
"471","lima","22/03/1934","lima, peru","Pan American Grace Airlines","","Ford 5-AT-C Tri-Motor",15,3,12,0.2,0,"Crashed on take due to engine failure.",1934,3,"Mar",NA,-9.292502,16.171227
"472","lima","08/05/1964","lima, peru","Fuerza Aí©rea Argentina","Buenos Aires - Lima","Douglas C-54",49,46,3,0.94,0,"Crashed into a sand dune while attempting to land at Lima in heavy fog. Improper IFR procedures by the crew",1964,5,"May",NA,-9.292502,16.171227
"473","lima","27/11/1962","lima, peru","Varig","Porto Alegre - Lima","Boeing B-707-441",97,97,0,1,0,"After initiating an overshoot procedure, at the suggestion of the control tower, because it was too high, the aircraft proceded to start another approach when it crashed into La Cruz Peak. Possible misinterpretation of navigation instruments.",1962,11,"Nov",NA,-9.292502,16.171227
"474","lima","10/03/1989","lima, peru","Aero Condor","Sightseeing","Britten Norman BN-2A Trislander",10,10,0,1,0,"Crashed after striking radio tower while on approach.",1989,3,"Mar",NA,-9.292502,16.171227
"475","lincoln","24/07/1970","lincoln, new mexico","Del Rio Flying Service - Air Taxi","San Antonio, TX - Rudioso, NM","Cessna 310J",7,7,0,1,0,"Flew into mountain ridge obscured by clouds. Continued VFR flight into adverse weather conditions.",1970,7,"Jul",NA,-34.866494,-61.530197
"476","lincoln","25/09/1973","lincoln, nebraska","Lisa Jet Inc. - Air Taxi","Lincoln, NB - Omaha, NB","Gates Lear 25",3,3,0,1,0,"Crashed while in initial climb. Inadequate preflight preparation. Poor crew coordination.",1973,9,"Sep",NA,-34.866494,-61.530197
"477","lobito","21/05/1972","lobito, angola","DTA Angola Airlines","Luanda - Lobito - Sa Da Bandeira","Fokker F-27 Friendship 200",25,22,3,0.88,0,"Overshot the runway in heavy fog and crashed into the ocean while landing.",1972,5,"May",NA,-12.319722,13.599722
"478","lobito","15/12/1994","lobito, angola","SL Aviation Services","","Douglas DC-3",2,2,0,1,0,"The cargo plane lifted the runway, stalled and hit tail first back on the runway breaking apart.",1994,12,"Dec",NA,-12.319722,13.599722
"479","lockhart river","07/05/2005","lockhart river, queensland, australia","Aero-Tropics","Bamaga - Lockhart River","Swearingen SA-227AC Metro III",15,15,0,1,0,"The plane crashed as it was preparing to land at the remote Aboriginal community of Lockhart River on Cape York peninsula. The plane was flying in heavy rain and strong winds when it crashed. The wreckage was found in rugged rainforest terrain. Controled flight into terrain. The flight crew did not react to the mountain rising up before them. The copilot, who was flying the plane, was not qualified to undertake the instrument landing approach attempted, an RNAV (GNSS) approach.",2005,5,"May",NA,-12.78723,143.343536
"480","loma linda","23/05/1994","loma linda, colombia","Arall","San Jose - Villavicencio","Pilatus Britten-Norman BN-2B-27 Islander",11,4,7,0.36,0,"Crashed while making an emergency landing following engine trouble.",1994,5,"May",NA,9.827107,-73.792919
"481","londonderry","22/02/1973","londonderry, vermont","Air Taxi","Mt. Empire, VT - Springfield, VT","Cessna 310J",2,2,0,1,0,"Hit a 2,800 ft. mountain in fog and snow while descending to land. Improper IFR operation. Misunderstood ATC instructions.",1973,2,"Feb",NA,-33.646561,150.735153
"482","long beach","13/01/1954","long beach, california","Military - U.S. Air Force","","F-88 Sabre Jet",1,1,0,1,6,"The jet fighter crashed into homes killing 6 people and destroying 3 homes while attempting to land.",1954,1,"Jan",NA,-35.708328,150.244827
"483","long beach","27/06/1966","long beach, mississippi","McCoy Flying Service - Taxi","","Douglas DC-3",12,2,10,0.17,0,"The crew attempted a return to the airport after the No.2 engine failed on climb out. The pilot-in-command failed to maintain flying speed and the aircraft stalled and crashed. No.3 piston failed due to oil starvation resulting from inadequate maintenance and inspection. Improper in-flight decisions or planning. Poor crew coordination. Improper emergency procedures.",1966,6,"Jun",NA,-35.708328,150.244827
"484","longreach","15/11/1934","longreach, nsw, australia","Qantas","","de Havilland DH-86",4,4,0,1,0,"",1934,11,"Nov",NA,-23.44212,144.249207
"485","longreach","15/11/1934","longreach, australia","Qantas","","de Havilland DH-86",4,4,0,1,0,"Crashed on its delivery flight from England to Brisbane after in-flight loss of control, probably due to the type's design deficiencies.",1934,11,"Nov",NA,-23.44212,144.249207
"486","lopez","28/08/1968","lopez, washington","Island Sky Ferry - Air Taxi","","Cessna 172",2,0,2,0,0,"Misjudged altitude and crashed into water.  Right wing struck open water during a low turn away from a fog bank. Continued VFR flight into adverse weather conditions.",1968,8,"Aug",NA,-37.55239,-59.626604
"487","los angeles","18/01/1969","los angeles, california","United Air Lines","Los Angeles - Denver - Milwaukee","Boeing B-727-22QC",38,38,0,1,0,"The aircraft crashed into Santa Monica Bay shortly after a night takein poor weather and visibility. The crew reported a fire warning in  the No. 1 engine and shut it down. After initiating a turn, the aircraft crashed into the water at high speed. The aircraft was dispatched with one generator inoperative. While this was legal, United was required to repair the generator at the first airport where there were repair facilities. The aircraft flew for a total of 41 hours with the inoperative generator passing through airports that had the facilities to repair the generator. Shutting  down the engine took the second generator offline leaving just one generator which became overloaded causing it to trip, resulting in the loss of all electrical power in the aircraft. For reasons undetermined, the battery standby switch was not turned on. At night, in rain, with no lights or instruments, the captain became disoriented and crashed into the PacifiOcean, 11.5 miles west of Los Angeles International Airport, four minutes after its initial takeroll. Battery backup for instruments was not required at the time. This crash prompted the FAA to require all transport category aircraft to have a standby attitude indicator which is powered by an independent source. False fire warning which prompted the shutting down of the No. 1 engine. Failure of the crew to unpower the heavy electrical loads before shutting down the No. 1 engine. Failure of UAL to repair the No. 3 generator in a timely manner.",1969,1,"Jan",NA,-34.455826,-60.177703
"488","los angeles","14/01/1995","los angeles, ca","Air Taxi - Wolfe Air Aviation Ltd.","Los Angeles, CA - Burbank, CA","Bell 206B",4,2,2,0.5,0,"Took and crashed into power lines in rain and fog. Continued VFR flight into IMC.",1995,1,"Jan",NA,-34.455826,-60.177703
"489","los angeles","17/12/1963","los angeles, california","Airlines","","Douglas DC-6B",46,0,46,0,0,"The  No 1. and No2. Engine propellers touched the runway after an attempted go-around during landing.  A safe landing was made at Lockheed Air Terminal in Burbank.  Failure of the pilot to maintain a positive rate of climb and the premature retraction of the landing gear during a go-around in the fog.",1963,12,"Dec",NA,-34.455826,-60.177703
"490","los angeles","13/01/1969","los angeles, california","Scandinavian Airlines (SAS)","Copenhagen - Los Angeles - Seattle","McDonnell Douglas DC-8-62",45,15,30,0.33,0,"The aircraft was on approach to 07R when it crashed into Santa Monica Bay 6 miles short of the runway. The fuselage  broke into 3 pieces one of which floated for 20 hours. SAS did not authorize a back course approach to LAX.  A VOR approach was conducted without notifying the controlling authority. The crew was preoccupied with a landing gear light problem. Lack of crew coordination and inadequate monitoring of aircraft position which resulted in an unplanned descent into the water. The aircraft was named 'Sverre Viking.'",1969,1,"Jan",NA,-34.455826,-60.177703
"491","lucapa","12/03/1997","lucapa, angola","ALADA","Luanda - Lucapa","Antonov AN-12B",16,16,0,1,0,"Crashed short of the runway in dense fog while attempting to land a second time at Lucapa.",1997,3,"Mar",NA,-8.419151,20.744655
"492","luneville","20/10/1917","luneville, france","Military - German Navy","","Zeppelin L-44 (airship)",18,18,0,1,0,"Shot down by French anti-aircraft fire.",1917,10,"Oct",NA,48.591172,6.495426
"493","luyaba","09/11/1995","luyaba, argentina","Military - Argentine Air Force","Comodoro Rivadavia - Cordoba","Fokker F-27 Friendship 500",53,53,0,1,0,"The aircraft crashed into a 8,000 ft. mountain  in the Sierra Grande range while climbing en route from Comodoro Rivadavia to Cordoba in heavy rain and strong turbulence. The passengers included military personnel and their dependents.",1995,11,"Nov",NA,-32.148962,-65.058167
"494","mackay","14/06/1943","mackay, old, australia","Military - U.S. Army Air Forces","","B-17C Flying Fortress",41,40,1,0.98,0,"The aircraft took into ground fog and leveled at an altitude of about 300 feet. In a matter of minutes the plane had caught fire in the air, and as it dived into the trees one of its wings came away leaving a great opening in the fuselage through which most of the passengers were emptied into the bush before the final impact.",1943,6,"Jun",NA,-21.15345,149.165543
"495","mackay","14/03/1954","mackay, australia","Queensland Airlines","","Douglas C-47A",2,2,0,1,0,"The cargo plane crashed into the sea while en route.",1954,3,"Mar",NA,-21.15345,149.165543
"496","mackenzie","16/12/1997","mackenzie, british colombia, canada","Terry Air Inc.","Mackenzie - Bear Valley","Cessna 402C",3,3,0,1,0,"Crashed after taking from Mackenzie. Wreckage was found on the west shore of Williston Lake.  The cause of the accident is undetermined, however, it is probable that low-level, visual flight in deteriorating weather contributed to the accident.",1997,12,"Dec",NA,55.33,-123.09
"497","madeira","18/12/1977","madeira, portugal","SATA","Geneva - Funchal","Aerospatiale Caravelle 10R",57,36,21,0.63,0,"Ditched into the ocean while on approach. Crew error. Sensory illusion.",1977,12,"Dec",NA,-8.928884,14.721897
"498","madrid","28/10/1957","madrid, spain","Iberia Airlines","Tanger - Madrid","Douglas DC-3",21,21,0,1,0,"Intense fire in the No.1 engine while en route, caused by foreign objects entering from the nacelle.",1957,10,"Oct",NA,4.732445,-74.264192
"499","madrid","07/12/1983","madrid, spain","Iberia Airlines / Aviaco","Madrid - Rome","Boeing B-727-200 / DC9-32",135,93,42,0.69,0,"While taking off, the B-727 struck the DC-9 on the runway in poor visibility, fog and snow. Because of poor visibility and inadequate signs and markings the, DC-9 inadvertently wandered on the runway being used by the B-727 to take off. The airport had no ground radar. Fifty-one aboard the 727 and all 42 aboard the DC-9 were killed. Mexican actress,  Marí_a 'Fanny Cano' Damiíçn, 39, among those killed.",1983,12,"Dec",NA,4.732445,-74.264192
"500","madrid","20/08/2008","madrid, spain","Spanair","Madrid - Las Palmas, Canary Islands","McDonnell Douglas MD-82",172,154,18,0.9,0,"The airliner crashed while attempting to takeoff. The plane was able to get slightly airborne before crashing into a ravine at the end of the runway. The plane took without the crew extending  it's flaps and slats, but the pilots would not have known there was a problem because the alarm did not go off.",2008,8,"Aug",NA,4.732445,-74.264192
"501","madrid","30/09/1972","madrid, spain","Spantax","Training","Douglas C-47B",6,1,5,0.17,0,"The student pilot rotated too quickly, the plane stalled and crashed.",1972,9,"Sep",NA,4.732445,-74.264192
"502","madrid","06/02/1976","madrid, spain","Military - U.S. Air Force","Mildenhall, England - Torrejon AFB","Boeing KC-135A",7,7,0,1,0,"Crashed and burned while attempting to land.",1976,2,"Feb",NA,4.732445,-74.264192
"503","madrid","23/12/1948","madrid, spain","Iberia Airlines","Madrid - Barcelona","Douglas DC-3 (C-47-DL)",27,27,0,1,0,"Crashed into Pandols Mountain while en route.",1948,12,"Dec",NA,4.732445,-74.264192
"504","magadan","02/10/1973","magadan, russia","Aeroflot","","Antonov AN-12V",10,10,0,1,0,"Struck high ground after going course during a go-around.",1973,10,"Oct",NA,43.234747,-6.927943
"505","magdalena","02/04/1986","magdalena, new mexico","Military - U.S. Air Force","","Lockheed HC-130P Hercules",11,11,0,1,0,"Lost a wing in heavy turbulence at low altitude.",1986,4,"Apr",NA,-35.080648,-57.513014
"506","malaga","13/09/1982","malaga, spain","Spantax","Malaga - New York City","McDonnell Douglas DC-10-30CF",394,50,344,0.13,0,"The aircraft crashed during takeafter intense vibration caused by a blown retreaded tire. The crew aborted the takeabove VR and overran the runway. They also  failed to apply reverse thrust symmetrically.",1982,9,"Sep",NA,6.699027,-72.732327
"507","malaga","08/04/1999","malaga, colombia","Aerotaca","Bucaramanga - Malaga","de Havilland Canada DHC-6 Twin Otter 300",5,5,0,1,0,"The aircraft crashed into La Caida Hill in fog, 10 minutes from its destination. The aircraft was course.",1999,4,"Apr",NA,6.699027,-72.732327
"508","malaga","29/08/2001","malaga, spain","Binter Mediterríçneo","Melilla - Míçlaga","CASA  CN-235-200",47,4,43,0.09,0,"The aircraft crash-landed on a highway Ruiz Picasso Airport in Míçlaga. While on final approach, the pilot reported failure of the plane's left engine forcing the crew to make an emergency landing.  The plane crashed 1,300 ft. short of the runway. The pilot later died of his injuries.",2001,8,"Aug",NA,6.699027,-72.732327
"509","malambo","20/06/1991","malambo, colombia","Aerosucre Colombia","Bogota - Malambo","Douglas DC-6BF",18,2,16,0.11,0,"Following several attempts to land the pilot decided to hold until weather conditions improved.  Contact was lost with the plane and it flew into the ground. Visibility was reduced by low lying fog.",1991,6,"Jun",NA,-8.216264,16.573863
"510","malanje","16/03/1991","malanje, angola","Transafrik","","Lockheed L-100-30 Hercules",9,9,0,1,0,"The cargo plane was shot down by a surface-to-air missile.",1991,3,"Mar",NA,-9.952332,14.933717
"511","managua","30/10/1986","managua, nicaragua","Military - Nicaraguan Air Force","","Mil Mi-17 (helicopter)",23,21,2,0.91,0,"Either mechanical failure, weather or ground fire from Contra rebels brought the helicopter down.",1986,10,"Oct",NA,6.288396,-70.297349
"512","managua","15/12/1961","managua, nicaragua","Lanica","","Curtiss C-46",2,2,0,1,0,"The cargo plane cashed while attempting to land. Shifting cargo.",1961,12,"Dec",NA,6.288396,-70.297349
"513","managua","05/03/1959","managua, nicaragua","TACA","Las Mercedes - Tegucigalpa","Vickers Viscount 763",19,15,4,0.79,0,"Crashed shortly after takeoff, inverted, into trees. Failure of No. 1 engine on climbout. The non-retraction of the landing gear immediately after the aircraft reached V2. Failure of engine No. 2 a few seconds later. The aircraft banked left, lost altitude and collided with trees. Engine failure cause unknown.",1959,3,"Mar",NA,6.288396,-70.297349
"514","managua","14/08/1982","managua, nicaragua","Military - Nicaraguan Air Force","Managua - El Rodeo","Arava 201",20,20,0,1,0,"Rolled to the right and crashed from an altitude of 500 ft. shortly after becoming airborne.",1982,8,"Aug",NA,6.288396,-70.297349
"515","mandalay","03/10/1978","mandalay, myanmar","Burma Airways","","Fokker F-27 Friendship 600",44,2,42,0.05,0,"Lost both engines on climbout and made an emergency landing on a sandbank of the Irrawaddy River.",1978,10,"Oct",NA,33.471389,69.623334
"516","mandalay","24/01/1980","mandalay, burma","Military - Union of Burma Air Force","Mandalay - Rangoon","Fairchild FH-227H",44,43,1,0.98,0,"Crashed into a building while attempting an emergency landing following the loss of one engine.",1980,1,"Jan",NA,33.471389,69.623334
"517","manila","21/07/1989","manila, philippines","Philippine Air Lines","Zamboanga - Manila","BAC One-Eleven 516FP",98,1,97,0.01,8,"In heavy rain the aircraft bounced twice, crashed through a concreate wall, overran the runway, crossed a road and struck several cars.",1989,7,"Jul",NA,5.23839,-72.678678
"518","manila","03/02/1975","manila, philippines","Philippine Air Lines","Manila - Iligan","Hawker Siddeley HS-748 2",33,32,1,0.97,0,"The No. 2 engine caught fire shortly after takeoff.  The aircraft crashed into a rice field 3 miles short of the runway while making an emergency approach back to the airport.",1975,2,"Feb",NA,5.23839,-72.678678
"519","manila","23/11/1960","manila, philippines","Philippine Air Lines","Iloilo - Manila","Douglas DC-3",33,33,0,1,0,"Crashed into Mt. Baco while en route. Navigational error under adverse weather conditions.",1960,11,"Nov",NA,5.23839,-72.678678
"520","manila","26/04/1990","manila, philippines","MATS - Manila Aero Transport System","Manila - Roxaz City","Douglas DC-3 (C-47A-30-DK)",24,7,17,0.29,0,"The plane crashed into a rice field after an engine failed during a landing attempt and the plane attempted to take again, crashing outside of the airport boundary.",1990,4,"Apr",NA,5.23839,-72.678678
"521","manila","03/06/1975","manila, philippines","Philippine Air Lines","Legaspi - Manilla","BAC One-Eleven 524FF",64,1,63,0.02,0,"A bomb exploded in the right rear lavatory causing a hole in the fuselage. The plane landed safely.",1975,6,"Jun",NA,5.23839,-72.678678
"522","manila","25/07/1971","manila, philippines","Pan American World Airways","San Francisco - Honolulu - Guam - Manila - Siagon","Boeing 707-321CF",4,4,0,1,0,"While on a VOR/DME approach to Manila runway 24, the aircraft struck Mount Kamunay at an altitude of 2,525 feet, 20 miles east/northeast of the Manila VOR. The probable cause was improper crew coordination, which caused a premature descent.",1971,7,"Jul",NA,5.23839,-72.678678
"523","manila","20/10/1965","manila, philippines","Philippine Air Lines","Manila - Tacloban","Douglas DC-3",37,1,36,0.03,0,"The aircraft veered to the left after taking off. The pilot lost control and crashed. Failure of the pilot to set the rudder trim tab to the proper position before takeand during the flight. Undetected deflection of the rudder trim tab.",1965,10,"Oct",NA,5.23839,-72.678678
"524","manila","15/11/1974","manila, philippines","Orient Air System and Integrated Services","","Douglas C-47A-30",8,1,7,0.13,0,"The No.2 prop was feathered when the engine failed after taking off. The aircraft lost altitude during a 180 degree turn and a forced landing was made in a rice field.",1974,11,"Nov",NA,5.23839,-72.678678
"525","manila","14/07/1960","manila, philippines","Northwest Orient Airlines","Okinawa - Manila","Douglas DC-7C",58,1,57,0.02,0,"After a loss of power in the No. 2 engine the crew was unable to feather the prop. An emergency descent was made and the plane ditched into the ocean. Upon contact with the water, the aft end of the fuselage broke free at the rear of the pressure bulkhead, the right wing  tore free and the engines separated. The wing floated for 3hrs, serving as a life raft for  passengers. The remainder of the fuselage, sank some 10 minutes after impact.  Passengers were rescued 6 hours after the accident. Failure of No. 2  engine, resulting in oil contamination, loss of oil supply, subsequent loss of the No. 2 propeller assembly and fire-in-flight, which necessitated a ditching.",1960,7,"Jul",NA,5.23839,-72.678678
"526","manila","25/05/2000","manila, philippines","Philippine Air Lines","Davao - Manila","Airbus A.330-301",298,1,297,0,0,"A hijacker robbed passengers, jumped out of the plane with a homemade parachute and was killed in the jump.",2000,5,"May",NA,5.23839,-72.678678
"527","manila","21/04/1970","manila, philippines","Philippine Air Lines","Cuayan - Manila","Hawker Siddeley HS-748-209",36,36,0,1,0,"The aircraft was on a flight from Cauayan, Isabela to Manila when it crashed into mountainous terrain after an explosion in the rear lavatory of the aircraft  broke the tail section.",1970,4,"Apr",NA,5.23839,-72.678678
"528","manila","12/10/1962","manila, philippines","Philippine Air Lines","Training","Fokker F-27 Friendship 100",3,3,0,1,0,"Crashed while practicing take offs and landings.",1962,10,"Oct",NA,5.23839,-72.678678
"529","manila","18/05/1990","manila, philippines","Aerolift Philippines","Manila - Surigao City","Beechcraft 1900C-1",21,21,0,1,4,"Crashed shortly after taking off. The aircraft never gained more than 400 feet in altitude and crashed into houses killing four people. Failure of the right engine, after which, the pilot  made an immediate right turn, stalled the aircraft and crashed. Failure to maintain adequate flying speed and altitude due to the pilot's inability to properly perform the specified emergency procedures following a malfunction of the right engine immediately after take off. Failure of the engine.",1990,5,"May",NA,5.23839,-72.678678
"530","manila","02/06/1958","manila, philippines","Pan American World Airways","San Francisco - Singapore","Boeing 377 Stratocruiser 10-26",57,1,56,0.02,0,"A hard landing in heavy rain and gusty winds at Manila caused the collapse of the right main landing gear. A prop broke the No. 3 engine, penetrated the cabin and killed one passenger. The aircraft was named 'Clipper Golden Gate.'",1958,6,"Jun",NA,5.23839,-72.678678
"531","manila","11/11/2002","manila, philippines","Laoag International Airlines","Manila - Laoag","Fokker F27 Friendship 100",34,19,15,0.56,0,"The plane experienced failure of the left engine shortly after taking from Ninoy Aquino airport. The pilot declared and emergency and the aircraft ditched into Manila Bay and breaking up about one-half mile offshore. Fuel starvation. Failure of the pilot and co-pilot to check the fuel valve and failure to observe safety standards and measures.  Poor management and maintenance procedures.",2002,11,"Nov",NA,5.23839,-72.678678
"532","manila","27/02/1980","manila, philippines","China Airlines (Taiwan)","Taipei - Manila","Boeing B-707-309C",135,2,133,0.01,0,"The aircraft undershot the runway and bounced twice. The two outboard engines broke loose and the wingtips were ripped off. A fire broke out and spread rapidly. Pilot error.",1980,2,"Feb",NA,5.23839,-72.678678
"533","manila","11/05/1990","manila, philippines","Philippine Air Lines","Manila - Iloilo","Boeing B-737-3Y0",119,8,111,0.07,0,"There was an explosion in the center fuel tank while the aircraft was being pushed back for flight. Ignition of vapors in the empty center tank probably resulted from faulty wiring. Several causes have been presumed including chafed insulation on the wiring for the center fuel tank float level switch and damaged insulation on the wiring of the nearby wing anti-ice valve.",1990,5,"May",NA,5.23839,-72.678678
"534","manizales","11/01/1954","manizales, colombia","AVIANCA","Medellin - Armenia","Douglas DC-3",21,21,0,1,0,"Crashed into a mountain 1 hour after takeoff.",1954,1,"Jan",NA,6.446667,-74.967222
"535","mannheim","11/09/1982","mannheim, west germany","Military - U.S. Army","","Boeing Vertol CH-47C (helicopter)",46,46,0,1,0,"Crashed after experiencing catastrophimechanical failure and separation of one of the rotors. The aircraft was carrying French and German sky divers as part of Mannheim's 375 birthday celebration. Bearing failure in the forward transmission pack.",1982,9,"Sep",NA,49.488333,8.464722
"536","mannheim","12/11/1937","mannheim, germany","Deutsche Lufthansa","Berlin - Mannheim","Heinkel He-111",12,10,2,0.83,0,"Hit the ground prematurely while attempting to land.",1937,11,"Nov",NA,49.488333,8.464722
"537","manzanares","16/03/1939","manzanares, colombia","Deutsche Lufthansa","","Junkers JU-86",8,8,0,1,0,"",1939,3,"Mar",NA,-34.454247,-59.008536
"538","mar del plata","16/01/1959","mar del plata, argentina","Austral Lineas Aeras (Argentina)","Buenos Aires - Mar del Plata","Curtiss C-46A-50-CU",52,51,1,0.98,0,"The aircraft overshot runway and a missed approach procedure was initiated. The plane gradually descended into the ocean just offshore. The pilot was not familiar with the airport and he miscalculated during the instrument approach procedure. The pilot's temporarily confused mental state when he found himself in this critical situation, effectuating his capability and skill.",1959,1,"Jan",NA,-38.002278,-57.557539
"539","mar del plata","15/05/1959","mar del plata, aregntina","Aerolineas Argentinas","Mar del Plata - Bahia Blanca","Douglas DC-3",10,10,0,1,0,"Crashed into the sea during a steep turn following a takeat night. Undetermined cause.",1959,5,"May",NA,-38.002278,-57.557539
"540","maracaibo","16/03/1969","maracaibo, zulia, venezuela","Venezolana Internacional de Aviacion","Maracaibo - Miami","McDonnell Douglas DC-9-32",84,84,0,1,70,"Seconds after becoming airborne, the aircraft struck electrical power lines and crashed into houses in the La Trinidad section of the city. Takecalculations made from erroneous information. Faulty temperature sensor along the runway. San Francisco Giants pitcher Nestor Chavez, 22,  killed.",1969,3,"Mar",NA,-12.404167,-60.604167
"541","maracay","21/08/2004","maracay, venezuela","Military - Venezuelan Air Force","La Orchila Air Base - Maracay","Shorts 360",25,25,0,1,0,"Air trafficontrollers lost contact with the plane as it was returning from the Caribbean island of La Orchila and descending through 9,500 ft. The plane crashed in a mountainous region of northVenezuela in thunderstorms. The plane was carrying a mixture of military and civilian passengers.",2004,8,"Aug",NA,6.879909,-70.315367
"542","marcellus","02/02/1932","marcellus, michigan","Transamerican Airlines","Chicago - Kalamazoo","Stearman C-3MB",1,1,0,1,0,"Mail plane crashed.",1932,2,"Feb",NA,44.480364,0.078321
"543","massamba","29/04/2009","massamba, democratirepubliof congo","Bako Air","Bangui, CAR- Brazzaville, Congo - Harare, Zimbabwe","Boeing B-737-200",7,7,0,1,0,"Crashed while en route on a ferrying flight. The plane had not been flown for a year.",2009,4,"Apr",NA,-8.406725,16.962788
"544","matak","06/12/1990","matak, indonesia","Pelita Air Service","","IPTN 332C Super Puma",12,10,2,0.83,0,"The helicopter crashed into the sea.",1990,12,"Dec",NA,33.570733,65.126173
"545","mayfield","15/09/1989","mayfield, kentucky","Wehite Cap Aviation","Orlando, FL - Mayfield, KY","Beech King Air B100",6,6,0,1,0,"Crashed into trees while attempting to land at night, in fog. Improper IFR procedures and failure to maintain minimum descent altitude.",1989,9,"Sep",NA,-41.387222,147.133333
"546","mazamet","02/08/1936","mazamet, france","Air France","","Wibault 280",3,3,0,1,0,"The mail plane crashed into mountains 50 miles from Toulouse in fog.",1936,8,"Aug",NA,43.490014,2.373037
"547","medan","05/09/2005","medan, indonesia","Mandala Airlines","Medan - Jakarta","Boeing 737-230",117,99,18,0.85,44,"Seconds after taking the jetliner shook violently, veered to the left and crashed into a residential neighborhood 500 yards past the end of the runway.",2005,9,"Sep",NA,48.955392,1.994945
"548","medina","15/03/2001","medina, saudi arabia","Vnukovo Airlines","Istanbul, Turky - Moscow, Russia","Tupolev 154M",174,3,171,0.02,0,"The plane was hijacked and flown to Medina, Saudi Arabia. The plane was stormed and three people killed.",2001,3,"Mar",NA,-27.417612,-65.520956
"549","medina","08/09/1969","medina, colombia","SATENA","Bogota - Villavicencio","Douglas DC-3",28,28,0,1,0,"Crashed into a mountain, 30 miles from its destination after being diverted because of a severe storm.",1969,9,"Sep",NA,-27.417612,-65.520956
"550","medina","15/09/1980","medina, saudi arabia","Military - Royal Saudi Air Force","","Lockheed C-130E",89,89,0,1,0,"Crashed into the desert after taking off. Report of an in-flight fire.",1980,9,"Sep",NA,-27.417612,-65.520956
